# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
2003du             Foley11  10510.00     200.000
2003fa             Foley11  10190.00     200.000
2003gn             Foley11  12520.00     270.000
2003gt             Foley11  10680.00     300.000
2003hu             Foley11   9620.00     200.000
2003hv             Foley11  10790.00     200.000
2003ic             Foley11  11950.00     200.000
2003it             Foley11  11720.00     220.000
2003iv             Foley11  10890.00     200.000
2003kc             Foley11  12740.00     200.000
2003kf             Foley11  11260.00     200.000
2004l              Foley11  10220.00     230.000
2004s              Foley11   9280.00     220.000
2004as             Foley11  11840.00     250.000
2004at             Foley11  10760.00     220.000
2004bg             Foley11  10280.00     230.000
2004bk             Foley11  12570.00     230.000
2004dt             Foley11  15930.00     220.000
2004ef             Foley11  12290.00     230.000
2004eo             Foley11  10570.00     220.000
2004fu             Foley11  12690.00     250.000
2004gs             Foley11  11250.00     200.000
2005m              Foley11   8090.00     200.000
2005am             Foley11  12220.00     200.000
2005bc             Foley11  11140.00     220.000
2005bl             Foley11  10500.00     200.000
2005bo             Foley11  11090.00     240.000
2005cf             Foley11  10340.00     220.000
2005cg             Foley11  11360.00     300.000
2005el             Foley11  10800.00     220.000
2005eq             Foley11   9890.00     200.000
2005eu             Foley11  10840.00     200.000
2005hc             Foley11  11660.00     230.000
2005hf             Foley11   9920.00     220.000
2005kc             Foley11  10630.00     230.000
2005ke             Foley11   9660.00     200.000
2005ki             Foley11  11280.00     250.000
2005lu             Foley11  12660.00     200.000
2005mc             Foley11  12120.00     200.000
2005na             Foley11  10740.00     230.000
2006d              Foley11  10900.00     220.000
2006h              Foley11  10640.00     200.000
2006n              Foley11  11320.00     230.000
2006s              Foley11  10860.00     200.000
2006x              Foley11  15970.00     220.000
2006ac             Foley11  13850.00     220.000
2006ak             Foley11  11960.00     220.000
2006al             Foley11  11060.00     270.000
2006ax             Foley11  10260.00     230.000
2006az             Foley11  10720.00     260.000
2006bq             Foley11  14550.00     240.000
2006br             Foley11  14000.00     240.000
2006bt             Foley11  11500.00     200.000
2006bw             Foley11  11410.00     260.000
2006bz             Foley11  10430.00     400.000
2006cf             Foley11  10610.00     200.000
2006cj             Foley11  11030.00     200.000
2006cm             Foley11  11460.00     220.000
2006cp             Foley11  13480.00     240.000
2006cq             Foley11  10380.00     200.000
